park_code,price_type,cost,fee_type,pass_category,description,id
brca,fee,20.00,Entrance - Per Person,,Admits one individual with no car to the park - typically used for bicyclists and walk-ins. Youth 15 and under are admitted free.,34ACC9E6-0A00-444F-9E6B-07BAD954633D
brca,fee,50.00,Commercial Entrance - Sedan,,"Commercial tour vehicle rates are based on vehicle capacity. Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers.

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles t",DB08C148-2B40-4ACA-ADC2-21F0CF8D81C1
brca,fee,50.00,Commercial Entrance - Van,,"Commercial tour vehicle rates are based on vehicle capacity. Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers.

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles t",CB1584C8-9B91-4A05-8E5F-E228230AE6F1
brca,fee,60.00,Commercial Entrance - Mini-bus,,"Commercial tour vehicle rates are based on vehicle capacity. Pass is valid for the day o

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles that can carry seven or more passengers regardless of the actual number of passengers.",7099DC2C-27A1-4C99-B97A-B493A0E9CA49
brca,fee,150.00,Commercial Entrance - Motor Coach,,"Commercial tour vehicle rates are based on vehicle capacity. Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers.

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles.",AF9255A1-AD41-41D9-8CDC-17EA0B689B04
brca,pass,70.00,,Annual Entrance - Park,Valid for entry into Bryce Canyon National Park for 12 months from purchase.,F597C68F-2298-46B6-82E4-60B2BA1359CF
cabr,fee,20.00,Entrance - Private Vehicle,,"Admits one single, private, non-commercial vehicle and all its passengers.",A37FCEDA-AD5D-465F-8B91-CDEC67B0722C
cabr,fee,15.00,Entrance - Motorcycle,,"Admits one single, private, non-commercial motorcycle and its passenger(s).",C2FBFE8B-7F44-415C-BBAE-9E2C2D7E9BD8
cabr,fee,10.00,Entrance - Per Person,,"Admits one individual when entering by foot or bicycle. Groups of up to 4 people walking in or on bicycles are capped at $20 total.

Individuals 15 years old and younger are admitted free of charge.",0EDBA8CE-DCDC-43D0-93D3-CE5B912DAE4E
cabr,fee,30.00,Commercial Entrance - Sedan,,1 to 6 / ($30),2622B7BA-D8BA-45DB-89FA-CC99DA7ED3FD
cabr,fee,45.00,Commercial Entrance - Van,,7 to 25 / ($45),57676548-8C26-4F62-BECF-5E6784A79AEB
cabr,fee,45.00,Commercial Entrance - Mini-bus,,7 to 25 / ($45),000304B7-C65A-49F6-8856-9B1F397F9491
cabr,fee,100.00,Commercial Entrance - Motor Coach,,26 or more / ($100),19C39D61-4C04-4A46-B493-9D873527365B
cabr,fee,20.00,Entrance - Non-commercial Groups,,"Organized Non-Commercial Groups include church groups, college/school groups, scouts, service organizations, military, etc.
Vehicles with a capacity of 16 or less are charged the $20.00 vehicle permit fee. Vehicles with 17 or more seats will instead be charged the $10 per person individual rate for any passengers that are not free. The total fee charged for an Organized Non-Commercial Group will not exceed $100 per vehicle.",0E98260A-F7EB-4683-9DCA-392277B3DD79
caco,fee,25.00,Entrance - Private Vehicle,,"Pass is for one private, non-commercial vehicle — passenger cars, pickup trucks, RVs and vans.",648BD726-A916-4A25-9D13-C5AB313B0259
caco,fee,20.00,Entrance - Motorcycle,,Pass is for one motorcycle.,989ABC21-983D-4645-8EB5-F8D7785AF1FE
caco,fee,15.00,Entrance - Per Person,,Pass is for one person 16 years of age or older — entering on foot or by bicycle.,27568877-C191-4300-BC8A-FEC5D6F97B3B
caco,pass,60.00,,Annual Entrance - Park,"Passes are available at beach entrances during times when fees are normally collected. Entrance into the park with a pass may also require a driver's license or other form of picture identification. 

Valid for the current season. Permits access to any of the six Cape Cod National Seashore beaches. The annual pass allows entrance for the pass holder and additional passengers in a single private non-commercial vehicle, or pass holder plus three adults when entering on foot or bicycle.",2A8614D2-A09E-4C01-8B60-B2C00CA3E29F
cana,fee,25.00,Entrance - Private Vehicle,,This fee is per vehicle.,961C0F78-FE8C-4A03-9667-20D66D7DBC0F
cana,pass,45.00,,Annual Entrance - Park,This is the annual pass for Canaveral National Seashore. It allows access for one vehicle per visit for 12 months from the month of purchase.,BF2C20F2-535C-4886-9EDE-9BDAE28E0271
cany,fee,30.00,Entrance - Private Vehicle,,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants.",43BCACB3-A507-42E2-9510-237705C2B8B3
cany,fee,25.00,Entrance - Motorcycle,,"Admits a private, non-commercial motorcycle and its riders.",67996084-F48A-4365-AA7A-3D8864971C07
cany,fee,15.00,Entrance - Per Person,,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free.",D4425E45-DAD0-4845-9097-7296A86254CF
cany,pass,55.00,,Annual Entrance - Park,"Valid for one year through the month of purchase. Admits one (1) private, non-commercial vehicle or its pass holder to Arches and Canyonlands national parks, and Natural Bridges and Hovenweep national monuments.",C47F8B56-72C2-4AF1-B127-7A1D5FA7C2A7
care,fee,20.00,Entrance - Private Vehicle,,An entrance fee is charged per vehicle.,3A6CE658-777E-4042-BC58-56640C328CAA
care,fee,15.00,Entrance - Motorcycle,,"Admits one private, non-commercial motorcycle and its riders.",82E4A9B3-DC69-40D7-94C8-2D47ECBE9024
care,fee,10.00,Entrance - Per Person,,Admits one individual with no car. Typically used for bicyclists and pedestrians.,BADE1350-2603-4E76-9206-54A27F564AED
care,fee,30.00,Commercial Entrance - Sedan,,This fee is based on the seating capacity of the vehicle. A Commercial Use Authorization permit may be required.,AF830EE2-B01C-4A85-B999-F8AE87F14CB5
care,fee,40.00,Commercial Entrance - Van,,This fee is based on the seating capacity of the vehicle. A Commerical Use Authorization permit may be  required.,72803271-CD57-45FA-B127-BA0C1523BE81
care,fee,40.00,Commercial Entrance - Mini-bus,,This fee is based on the seating capacity of the vehicle. A Commerical Use Authorization permit may be required.,65060F65-B359-4BE2-8B34-C537ACD48DF9
care,fee,100.00,Commercial Entrance - Motor Coach,,This fee is based on the seating capacity of the vehicle. A Commerical Use Authorization permit may be required.,6E7CEB57-59CF-4D17-B5CF-48D292784FC9
care,pass,35.00,,Annual Entrance - Park,"Admits one private, non-commercial vehicle or motorcycle and all its occupants or riders.",A897179D-FC47-46CC-9688-C2D8BBB0D9C0
casa,fee,15.00,Entrance - Per Person,,"The Castillo de San Marcos is considered to be a ""walk-in"" park. The entrance fee applies to each individual. Tickets are not transferable and cannot be given to other guests. Adults (Age 16 and above) entrance is $15.00 and valid for 7 consecutive days. Children (age 15 and under) are admitted free of charge but must be accompanied by an adult.",7E6FFB05-B39A-42DA-8DFA-E811F175CC9E
casa,pass,45.00,,Annual Entrance - Park,Pass covers entrance fees only at Castillo de San Marcos National Monument. Pass allows one passholder to print and sign their name and is valid for 12 months through the month of purchase. Pass covers the passholder and three additional adults (16 and over) when entering the Castillo.,AE55E158-2B60-443D-931B-B2877AA98FCD
cave,fee,1.00,Timed Entry Reservation - Location,,"A timed entry reservation must be purchased to access Carlsbad Cavern. In addition, an entry pass must be purchased at the visitor center.

Time entry reservations ensure a more enjoyable experience and helps to protect the cave formations.",997B66EE-6117-458C-8F92-64F438417408
cave,fee,15.00,Entrance - Per Person,,Entrance fee provides access to Carlsbad Cavern by elevator and hiking in. Ranger-guided tours are an additional fee and can be reserved on recreation.gov.,793A714D-E8A1-46E6-AF55-56C4C54AD13A
cavo,fee,20.00,Entrance - Private Vehicle,,"Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants to Capulin Volcano National Monument. The maximum size of a vehicle allowed on the Volcano Road is 26 feet in length and/or 8 feet in width. Passes may be upgraded to annual passes within 7 days of purchase.",8C2AEC43-D08E-46E7-927F-515F46616BD5
cavo,fee,15.00,Entrance - Motorcycle,,"Admits one private motorcycle and all occupants to Capulin Volcano National Monument. Capulin Volcano accepts the America the Beautiful - Federal Lands Passes (Interagency Annual, Senior, and Access passes) in place of an entrance fee. Passes may be upgraded to annual passes within 7 days of purchase.",B99952B2-BB5A-4841-A5E4-F0B640F26DB2
cavo,fee,10.00,Entrance - Per Person,,"Admits one person arriving on foot or bicycle, or by commercial operator to Capulin Volcano National Monument.",0C1E87E2-4359-4E8B-AA00-2CF7D4187A22
cavo,fee,10.00,Entrance - Non-commercial Groups,,"$10 per person for organized groups such as Scouts, Rotary, Clubs, Youth Groups, Churches, Reunions, etc. that do not qualify for an Academic Fee Waiver. Fees will not exceed the commercial fee for the same-sized vehicle. Youth 15 and under are free. Individuals or families with any valid Annual or Lifetime pass may use their pass for entry at the per person rate. The maximum size of a vehicle allowed on the Volcano Road without a permit is 26 feet in length and/or 8 feet in width.",42D3199D-7859-45B1-95D5-DBA998390151
cavo,fee,0.00,Entrance - Education/Academic Groups,,"Educational waivers will be provided in accordance with the Code of Federal Regulations Title 36: if the request is from ""organized tours or outings conducted for educational or scientific purposes related to the resources of the area visited by bona fide institutions established for these purposes.",535C2A5E-1A27-4477-993F-390DD6264E55
cavo,fee,25.00,Commercial Entrance - Sedan,,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Entry fees of commercial tours are based upon the total capacity of vehicles.",3C35CC47-F2F8-4029-8811-BC456536FA6F
cavo,fee,40.00,Commercial Entrance - Van,,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles",399C4D99-7168-458A-90A4-0631F0D5BA63
cavo,fee,40.00,Commercial Entrance - Mini-bus,,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles",5517C345-7AEE-4056-B4D3-65ED5890D079
cavo,fee,100.00,Commercial Entrance - Motor Coach,,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles",96BE3F75-A81D-4545-B5D3-9C8B1F00567C
cavo,pass,35.00,,Annual Entrance - Park,The Capulin Volcano Annual Pass has a cost of $35.00 and is valid for 12 months from the month of purchase. Admits one private vehicle and all occupants to Capulin Volcano National Monument. This pass can be purchased at the visitor center. Non-transferable and non-refundable.,D24F295F-63E7-4165-A65A-3722469B6009
cebr,fee,10.00,Commercial Entrance - Per Person,,All Commercial Vehicles are $10 per person.,96F3AD91-FB18-4AAD-B16E-A8333E72DA24
cebr,fee,25.00,Entrance - Private Vehicle,,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants for 7 days.",9233215F-91E7-455C-8456-3591E3EDC61F
cebr,fee,15.00,Entrance - Per Person,,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free.",6A4D63C8-B098-445E-8668-B0A1F6415A49
cebr,fee,20.00,Entrance - Motorcycle,,"Admits one private, non-commercial motorcycle and its riders.",BB8F3F5E-C513-4766-ACC1-1A14FD09FC8B
cebr,pass,45.00,,Annual Entrance - Park,Cedar Breaks annual pass provides access to the park for twelve months from the date of purchase.,FBEDA807-A46D-483F-9272-BCFD4AA3B51C
chat,fee,5.00,Entrance - Per Person,,Required for visitors age 16+ entering on foot or by bicycle. Valid for one day.,79A44A0A-B7D7-401E-896D-2E7A88F464BE
chat,fee,5.00,Entrance - Private Vehicle,,Private vehicle pass admits one private vehicle and its occupants for one day.,9112C8D8-0118-4C62-80DD-C674CADE3E79
chat,fee,5.00,Entrance - Motorcycle,,Valid for one motorcycle and its occupant(s) for one day.,1D1C81AE-C7FF-468F-8E5A-53F162230DB4
chat,pass,40.00,,Annual Entrance - Park,Frequent visitors may save money with an annual entrance pass. The park annual pass admits the cardholder and the other persons in a private vehicle to the park. You may purchase the pass online or in person at the Island Ford Visitor Center. America the Beautiful passes are also accepted.,099C349E-FACC-4B27-9185-10044C9B8EAA
chch,fee,10.00,Entrance - Per Person,,"Entrance fees only apply to Point Park, on Lookout Mountain. If you plan to visit Chickamauga Battlefield, parts of Lookout Mountain Battlefield, exclusive of Point Park, Missionary Ridge, Orchard Knob, Signal Point, or Moccasin Bend National Archeological District, entrance to the park areas is FREE.",6252547B-F292-4A38-A25E-AE771489E4B0
