wheelchair,latitude,longitude,accomm_type,state,name,street,house_number,city,website,phone
yes,-108.6418341,39.1105244,hotel,CO,Red Roof Inn,US Highway 6 and 50,2210,Grand Junction,https://www.redroof.com/property/co/grand-junction/RRI919,+1-970-241-3020
yes,-81.4723225,28.4542424,hotel,FL,Coco Key Hotel and Water Park Resort,International Drive,7400,Orlando,https://www.cocokeyorlando.com/,+1 407 351 2626
yes,-81.472351,28.4520944,hotel,FL,Rosen Inn International,International Drive,7600,Orlando,https://www.roseninn7600.com/,+1 407 996 1600;+1 800 825 7600
yes,-89.603392,39.7881177,hotel,,Red Roof Inn Springfield,,,,,
yes,-118.3778696,34.0842312,hotel,CA,Le Parc at Melrose,N W Knoll Dr,733,West Hollywood,https://www.leparcsuites.com/,+1-310-855-8888
limited,-118.4866933,34.2021052,hotel,CA,Airtel Plaza Hotel,Valjean Avenue,7277,Van Nuys,https://www.airtelplaza.com/,+1-818-997-7676
yes,-80.2409872,25.7286363,hotel,FL,Mayfair House Hotel & Garden,Florida Avenue,3000,Miami,https://www.mayfairhousemiami.com/,+1-305-441-0000
yes,-122.4044219,37.7853815,hotel,CA,San Francisco Marriott Marquis,Mission Street,780,San Francisco,https://www.marriott.com/hotels/travel/sfodt-san-francisco-marriott-marquis/,+1-415-896-1600
yes,-119.9452756,38.9579867,hostel,CA,Mellow Mountain Hostel,Cedar Avenue,4081,South Lake Tahoe,https://www.mellowmountainhostel.com/,1 530-600-3272
yes,-79.9322336,32.782566,hotel,SC,The Ryder Hotel,Meeting Street,237,Charleston,https://www.theryderhotel.com/,+1-843-723-7451
limited,-82.3154021,35.6210897,hotel,NC,Super 8 by Wyndham Black Mountain,"Flat Creek Rd,",101,Black Mountain,,+1 828-357-4150
yes,-87.2874681,36.5973917,hotel,TN,Farfield Inn & Suites Clarksville,Westfield Court,110,Clarksville,https://www.marriott.com/hotels/travel/bnacv-fairfield-inn-and-suites-clarksville/,+1-931-551-3200
yes,-87.2838713,36.5972781,hotel,TN,Quality Inn,Wilma Rudolph Boulevard,3095,Clarksville,https://www.choicehotels.com/tennessee/clarksville/quality-inn-hotels/tn542,+1-931-648-4848
yes,-118.1721035,34.700987,hotel,,Homewood Suites,Double Play Way,2320,Lancaster,https://homewoodsuites3.hilton.com/en/hotels/california/homewood-suites-by-hilton-lancaster-PDLHWHW/index.html,+1 661 723-8040
yes,-118.3787859,33.8167083,hotel,CA,Best Western Plus,South Pacific Coast Highway,1850,Redondo Beach,http://www.bwredondobeachinn.com/,
yes,-117.0237132,46.7337314,hotel,ID,Best Western Plus University Inn,Pullman Road,1516,Moscow,https://uinnmoscow.com/,+1-208-882-0550
yes,-115.1694338,36.1217005,hotel,NV,The Venetian Las Vegas,Las Vegas Boulevard South,3355,Las Vegas,https://www.venetian.com/,
yes,-122.7189833,38.4357878,hotel,,Hyatt Vineyard Creek Hotel,,,,,
yes,-122.3653704,37.5938041,hotel,CA,Hyatt Regency San Francisco Airport,Bayshore Highway,1333,Burlingame,https://sanfranciscoairport.regency.hyatt.com/,+1 650-347-1234
yes,-122.1930888,47.6178501,hotel,,Courtyard,Northeast 8th Street,11010,,,
yes,-89.3943001,43.0714315,hotel,WI,DoubleTree by Hilton Madison Downtown,West Johnson Street,525,Madison,https://www.hilton.com/en/hotels/msndtdt-doubletree-madison-downtown/,+1 608-251-5511
limited,-81.7895981,24.5500819,hotel,FL,Suite Dreams Inn,VonPhister Street,1001,Key West,https://suitedreamskeywest.com/,+1-305-292-4713
limited,-82.3830681,35.1293983,camp_site,,Camp Old Indian,,,,https://www.blueridgecouncil.org/camps/camp-old-indian/,+18648958995
yes,-88.9670112,42.2719802,hotel,IL,Courtyard Rockford,East State Street,7676,Rockford,,
yes,-82.6389378,27.7767867,hotel,FL,The Hollander,4th Street North,421,Saint Petersburg,https://hollanderhotel.com/,
yes,-84.2337363,33.9488754,hotel,GA,Courtyard Atlanta Norcross/Peachtree Corners,Holcomb Bridge Road,3209,Norcross,,+1-770-446-3777
yes,-114.0036474,46.8755976,hotel,MT,Red Lion Inn & Suites,West Broadway Street,700,Missoula,https://www.redlion.com/red-lion-inn-suites/mt/missoula/red-lion-inn-suites-missoula,+1-406-728-3300
yes,-97.0571508,32.8234094,hotel,TX,DFW Airport Marriott South,Centreport Drive,4151,Fort Worth,https://www.marriott.com/hotels/travel/dfwam-dfw-airport-marriott-south/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2,+1-817-358-1700
yes,-87.2886313,36.5968233,hotel,TN,TownePlace Suites Clarksville,Fair Brook Place,120,Clarksville,,
limited,-81.8994492,35.732347,camp_site,,Catawba River Walk-In Campground,,,,,
yes,-111.9388448,33.4264722,hotel,AZ,Tempe Mission Palms,East 5th Street,60,Tempe,,
limited,-116.3623602,33.7225698,hotel,CA,Embassy Suites by Hilton Palm Desert,Highway 111,74-700,Palm Desert,https://embassysuites3.hilton.com/en/hotels/california/embassy-suites-by-hilton-palm-desert-PLMDRES/index.html,+1-760-340-6600
yes,-77.8717616,34.2413855,hotel,NC,Courtyard by Marriott Wilmington/Wrightsville Beach,Van Campen Boulevard,151,Wilmington,https://www.marriott.com/en-us/hotels/ilmcy-courtyard-wilmington-wrightsville-beach/overview/,+1 910 395 8224
yes,-80.0022754,40.443804,hotel,PA,Renaissance Pittsburgh Hotel,6th Street,107,Pittsburgh,https://www.marriott.com/en-us/hotels/pitbr-renaissance-pittsburgh-hotel/,+1 412 562 1200
yes,-83.0049655,39.972791,hotel,OH,AC Hotel Columbus Downtown,Park Street,517,Columbus,https://www.marriott.com/CMHAD,
yes,-86.7917958,36.0362148,hotel,TN,Courtyard Nashville Brentwood,Eastpark Drive,103,Brentwood,https://www.marriott.com/hotels/travel/bnabr-courtyard-nashville-brentwood/,+1 615-371-9200
yes,-122.4608102,38.2913742,hotel,,Sonoma Valley Inn,2nd Street West,550,Sonoma,https://www.sonomavalley.com/best-western-sonoma-valley-inn-and-krug-event-center.L1.html,+1 707 938-9200
yes,144.7981031,13.4934399,hotel,GUAM,Mai'Ana Airport Plaza,Chalan Pasaheru Street,253,Tamuning,https://www.maianahotel.com/,1 671 646-6961
yes,-78.5668936,43.2921304,caravan_site,NY,Niagara Hartland RV Resort,Hartland Road,2383,Gasport,http://niagarahartlandrv.com/,+1 716 795 3812
yes,-76.9596645,40.2049865,hotel,PA,Homewood Suites by Hilton Harrisburg-West Hershey Area,Ritter Road,5001,Mechanicsburg,https://www.hilton.com/en/hotels/harhwhw-homewood-suites-harrisburg-west-hershey-area/,+17176974900
yes,-80.2756976,39.280456,hotel,WV,SpringHill Suites,Platinum Drive,97,Bridgeport,https://www.marriott.com/hotels/travel/ckbsh-springhill-suites-bridgeport-clarksburg/,+1-304-842-5400
yes,-97.3895567,27.8194369,hotel,TX,Quality Inn & Suites,East Surfside Boulevard,3202,Corpus Christi,https://www.choicehotels.com/texas/corpus-christi/quality-inn-hotels/tx734,+1-361-883-7456
yes,-81.5348272,28.3557461,hotel,FL,Signia by Hilton Orlando Bonnet Creek,Bonnet Creek Resort Lane,14100,Orlando,https://www.hiltonbonnetcreek.com/,+1-407-597-3600
yes,-83.7020895,32.6157525,hotel,GA,La Quinta Inn & Suites,Watson Boulevard,4080,Warner Robins,https://www.wyndhamhotels.com/laquinta/warner-robins-georgia/la-quinta-warner-robins-robins-afb/overview,+1 478-285-9623
yes,-159.439238,21.8757193,hotel,HI,Grand Hyatt Kauai Resort,Poipu Road,1571,Koloa,https://www.hyatt.com/en-US/hotel/hawaii/grand-hyatt-kauai-resort-and-spa/kauai,+1 808-742-1234
yes,-70.3539801,43.6210491,hotel,ME,Candlewood Suites,Roundwood Drive,700,Scarborough,,
yes,-96.6845507,40.7351806,hotel,NE,Holiday Inn Lincoln Southwest,Tamarin Ridge Road,2500,Lincoln,https://www.ihg.com/holidayinn/hotels/us/en/lincoln/lnkpz/hoteldetail,+1 402 4211893
yes,-74.4006435,40.8146553,hotel,NJ,Sonesta Select,Route 10 East,157,Whippany,https://www.sonesta.com/sonesta-select/nj/whippany/sonesta-select-whippany-hanover,+1 973 887 8700
yes,-77.4482675,38.9599084,hotel,VA,Washington Dulles Airport Marriott,Aviation Drive,45020,Dulles,https://www.marriott.com/hotels/travel/iadap-washington-dulles-airport-marriott/,+1 703-471-9500
yes,-85.6100174,44.764783,hotel,MI,Delamar Traverse City,East Front Street,615,Traverse City,https://delamar.com/traverse-city/,+1-231-947-3700
yes,-72.0905549,41.4923475,hotel,CT,Mohegan Sun,Mohegan Sun Boulevard,1,Uncasville,,
yes,-79.4388357,37.780108,hotel,VA,Hampton Inn,East Nelson Street,401,Lexington,https://www.hilton.com/en/hotels/lxtswhx-hampton-lexington-historic-district/,+1 540-463-2223
yes,-119.9204097,34.4346652,hotel,CA,"The Ritz-Carlton Bacara, Santa Barbara",Hollister Avenue,8301,Santa Barbara,https://www.ritzcarlton.com/en/hotels/sbarz-the-ritz-carlton-bacara-santa-barbara/overview/,+1-805-968-0100
limited,-112.3585978,42.6924506,camp_site,,Scout Mountain Campground,,,,https://www.fs.usda.gov/recarea/ctnf/recreation/camping-cabins/recarea/?recid=54585&actid=29,
yes,-83.0022074,39.9708016,hotel,OH,Hilton Columbus Downtown,North High Street,402,Columbus,https://www.hilton.com/en/hotels/cmhdwhh-hilton-columbus-downtown/,+1-614-384-8600
yes,-145.6955162,61.1206938,camp_site,,Blueberry Lake State Recreation Site,,,,https://valdezadventurealliance.com/blueberry-lake-campsites,
limited,-86.662879,36.1433584,hotel,TN,"Holiday Inn Express Nashville Airport, an IHG Hotel",Airport Center Drive,1111,Nashville,https://www.ihg.com/holidayinnexpress/hotels/us/en/nashville/bnaex/hoteldetail,+1 615-883-1366
yes,-111.6726804,40.4493222,camp_site,,Little Mill Campground,,,,https://www.fs.usda.gov/recarea/uwcnf/recarea/?recid=9902,+1-801-785-3563
yes,-76.6975246,37.2689051,hotel,VA,Williamsburg Inn,Francis Street East,136,Williamsburg,https://www.colonialwilliamsburghotels.com/accommodations/williamsburg-inn/,+1-757-220-7978
yes,-80.4351827,41.294663,camp_site,,Shenango Recreational Area Campground,,,,,
yes,-119.2741903,34.2684799,hotel,CA,Ventura Beach Marriott,Harbor Blvd,2055,Ventura,,
yes,-81.4711582,28.442501,hotel,FL,Sonesta ES Suites Orlando,International Drive,8480,Orlando,https://www.sonesta.com/sonesta-es-suites/fl/orlando/sonesta-es-suites-orlando-international-drive,+1 407 352 2400
yes,-122.1379234,38.220018,hotel,CA,"Staybridge Suites Fairfield Napa Valley Area, an IHG Hotel",Business Center Drive,4775,Fairfield,https://www.ihg.com/staybridge/hotels/us/en/fairfield/fdpsb/hoteldetail,+1 707-863-0900
yes,-122.0773073,37.4168712,hotel,,Shashi Hotel,North Shoreline Boulevard,1625,,https://www.shashihotel.com/,+1-650-420-2600
yes,-112.9876446,37.1963985,camp_site,,Watchman Campground,,,,https://www.nps.gov/zion/planyourvisit/watchman-campground.htm,
yes,-77.4416041,43.0215906,hotel,NY,Hampton Inn & Suites,Victor-Pittsford Road,7637,Victor,https://www.hilton.com/en/hotels/rocfphx-hampton-suites-rochester-victor/,+1 585-924-4400
yes,-110.1150655,48.1717713,caravan_site,MT,Big Sandy RV Park,Judith Landing Road,266,Big Sandy,,
yes,-110.3875545,40.9646589,camp_site,,Bridger Lake Campground,,,,,
limited,-82.947085,35.0920635,camp_site,,Gorges State Park Campground,,,,https://northcarolinastateparks.reserveamerica.com/camping/gorges-state-park/r/campgroundDetails.do?contractCode=NC&parkId=552865,+1 828 966 9099
yes,-84.38786,33.7635548,hotel,GA,"Inn At The Peachtrees, Ascend Hotel Collection",West Peachtree Street Northwest,330,Atlanta,https://www.choicehotels.com/georgia/atlanta/ascend-hotels/ga045,+1 404-577-6970
yes,-110.6628725,47.8286696,camp_site,MT,Benton RV Park,Chouteau Street,2410,Fort Benton,,
yes,-83.6920754,43.0167631,hotel,MI,Hilton Garden Inn Flint Downtown,West Kearsley Street,110,Flint,https://www.hilton.com/en/hotels/fntfdgi-hilton-garden-inn-flint-downtown/,+1 810-233-9110
yes,-121.0023059,37.6419034,hotel,CA,Double Tree by Hilton Modesto,9th Street,1150,Modesto,https://hilton.com,+1-209-526-6000
limited,-110.6682202,47.8161925,hotel,MT,Grand Union Hotel,14th Street,704,Fort Benton,,
limited,-110.4854035,47.9096566,camp_site,,,,,,,
yes,-111.8119784,41.7427834,hotel,,University Inn,,,,,
yes,-87.9773613,42.1540051,hotel,IL,Four Points by Sheraton Buffalo Grove,West Lake Cook Road,900,Buffalo Grove,http://www.fourpointsbuffalogrove.com,+1-847-215-8883
yes,-122.2731461,37.8021143,hotel,,Oakland Marriott City Center,Broadway,1001,Oakland,https://www.marriott.com/hotels/travel/oakdt-oakland-marriott-city-center/,510-451-4000
yes,-82.4538657,27.9409109,hotel,FL,Tampa Marriott Water Street,Water Street,505,Tampa,,
yes,-82.4585671,27.952032,hotel,FL,"Hotel Flor Tampa Downtown, Tapestry Collection by Hilton",North Florida Avenue,905,Tampa,https://www.hilton.com/en/hotels/tpamtup-hotel-flor-tampa-downtown/,+1-813-225-1700
limited,-118.1908097,33.7631582,hotel,CA,Hyatt Regency Long Beach,South Pine Avenue,200,Long Beach,https://longbeach.regency.hyatt.com/,+1 562-491-1234
yes,-115.1758043,36.0954709,hotel,NV,Luxor Las Vegas,South Las Vegas Boulevard,3900,Las Vegas,https://www.luxor.com/en.html?ecid=GMB_Hotel_Luxor#/,702-262-4000
yes,-115.1748144,36.092014,hotel,NV,Mandalay Bay Resort & Casino,South Las Vegas Boulevard,3950,Las Vegas,https://mandalaybay.mgmresorts.com,+1-877-632-7700
yes,-96.8010966,32.7772112,hotel,TX,Aloft Dallas Downtown,Young Street,1033,Dallas,https://www.marriott.com/en-us/hotels/daldl-aloft-dallas-downtown,+1-214-761-0000
yes,-121.566005,37.0237666,hotel,CA,Comfort Inn,San Ysidro Avenue,8435,Gilroy,https://www.choicehotels.com/california/watsonville/rodeway-inn-hotels,+1 408-848-4108
yes,-93.272678,44.9713967,hotel,,Hotel Ivy,,,,,
yes,-96.794837,32.7850915,hotel,TX,Sheraton Dallas,North Olive Street,400,Dallas,,+1 800-325-3535
yes,-93.2695538,44.9773359,hotel,MN,"Rand Tower Hotel, Minneapolis, a Tribute Portfolio Hotel",Marquette Avenue South,527,Minneapolis,https://www.marriott.com/en-us/hotels/msptr-rand-tower-minneapolis-a-tribute-portfolio-hotel/overview/,+1 612 688 4500
yes,-97.8040307,30.4645802,hotel,TX,Holiday Inn Express & Suites,Pecan Park Boulevard,10911,Austin,https://www.ihg.com/holidayinnexpress/hotels/us/en/austin/austx/hoteldetail,+1-512-249-8166
yes,-116.753284,36.9147188,hotel,NV,Stagecoach Hotel and Casino,Veterans Memorial Highway,900,Beatty,https://stagecoachhotelandcasino.com,+1 (775) 553-2419
yes,-71.0624148,42.3638945,hotel,MA,The Boxer Boston,Merrimac Street,107,Boston,,
limited,-71.0796191,42.3491509,hotel,MA,The Lenox,Exeter Street,61,Boston,https://www.lenoxhotel.com/,+1-617-536-5300
yes,-71.0666031,42.3616783,hotel,MA,Wyndham,Blossom Street,5,Boston,https://www.wyndhamhotels.com/wyndham/boston-massachusetts/wyndham-boston-beacon-hill/overview,+1 617 742 7630
yes,-93.2294528,44.9742287,hotel,MN,Graduate Minneapolis,Washington Avenue SE,615,Minneapolis,http://www.graduateminneapolis.com,+1-612-379-8888
yes,-74.95591,39.9403425,hotel,NJ,Homewood Suites by Hilton Philadelphia/Mt.Laurel,Nixon Drive,1422,Mount Laurel,https://homewoodsuites3.hilton.com/en/hotels/new-jersey/homewood-suites-by-hilton-mt-laurel-EWRMLHW/index.html,+1 856 2229001
yes,-96.7990729,32.7801597,hotel,,Magnolia Hotel Dallas Downtown,Commerce Street,1401,,,
yes,-117.1678917,32.7099198,hotel,CA,Manchester Grand Hyatt San Diego,Market Place,1,San Diego,https://manchestergrand.hyatt.com/,+1 619-232-1234
yes,-117.161506,32.7160763,hotel,CA,"The US Grant, A Luxury Collection Hotel",Broadway,326,San Diego,https://www.marriott.com/hotels/travel/sanlc-the-us-grant-a-luxury-collection-hotel-san-diego,+1-619-232-3121
yes,-72.2489282,41.8029085,hotel,CT,Graduate Storrs,Bolton Road,855,Storrs,https://www.graduatehotels.com/storrs/hotel/,+1 860 427 7888
yes,-83.3576007,42.2074528,hotel,,The Westin Detroit Metropolitan Airport,,,,,
limited,-117.1587459,32.7097432,hotel,CA,Margaritaville Hotel San Diego Gaslamp Quarter,6th Avenue,435,San Diego,https://www.margaritavilleresorts.com/margaritaville-hotel-san-diego,+1-619-819-9500
yes,-122.4083149,37.7894629,hotel,CA,San Francisco Marriott Union Square,Sutter Street,480,San Francisco,https://www.marriott.com/hotels/travel/sfous-san-francisco-marriott-union-square/,+1-415-398-8900
yes,-84.3814693,39.2550402,hotel,OH,Embassy Suites by Hilton Cincinnati Northeast Blue Ash,Lake Forest Drive,4554,Blue Ash,http://www.embassysuitesblueash.com/,+1-513-733-8900
yes,-111.4631351,36.9217352,hotel,AZ,Best Western View of Lake Powell Hotel,Rimview Drive,716,Page,http://book.bestwestern.com/bestwestern/US/AZ/Page-hotels/BEST-WESTERN-View-of-Lake-Powell-Hotel/Hotel-Overview.do?propertyCode=03125&cm_mmc=PTI-_-Page-_-AZ-_-3125,+1 928-645-8868
limited,-122.0250516,36.9616239,hotel,,Santa Cruz Dream Inn,,,,,
yes,-122.4107104,37.7877247,hotel,CA,Hotel Zeppelin San Francisco,Post Street,545,San Francisco,https://www.zhotelssf.com/zeppelin/,+1-415-563-0303
yes,-122.408452,37.7866806,hotel,CA,"The Barnes San Francisco, Tapestry Collection by Hilton",Powell Street,225,San Francisco,https://www.hilton.com/en/hotels/sfoonup-the-barnes-san-francisco/,+1-415-397-7700
yes,-122.4142344,37.7776081,hotel,CA,BEI Hotel San Francisco,8th Street,50,San Francisco,https://beihotelsf.com/,+1-415-626-6103
yes,-111.9008472,40.8600866,hotel,UT,Best Western Plus CottonTree Inn,North 400 East,1030,North Salt Lake,https://www.bestwestern.com/en_US/book/hotels-in-north-salt-lake/best-western-plus-cottontree-inn/propertyCode.45061.html,+1 801-292-7666
yes,-111.8959693,40.7589985,hotel,UT,Sheraton Salt Lake City Hotel,500 South,150,Salt Lake City,https://www.marriott.com/hotels/travel/slcsi-sheraton-salt-lake-city-hotel/,+1-801-401-2000
yes,-122.2781088,37.7947636,hotel,,Waterfront Hotel,,,,,
yes,-94.5797598,39.0852975,hotel,MO,Sheraton Kansas City Hotel at Crown Center,McGee Street,2345,Kansas City,,
yes,-121.8874559,37.3309768,hotel,CA,The Westin San Jose,South Market Street,302,San Jose,https://www.marriott.com/hotels/travel/sjcwi-the-westin-san-jose/,+1-408-295-2000
yes,-122.0315226,37.3216296,hotel,CA,Juniper Hotel Cupertino,South De Anza Boulevard,10050,Cupertino,https://www.hilton.com/en/hotels/sjcccqq-juniper-hotel-cupertino/,
yes,-84.3851089,33.7615939,hotel,GA,Atlanta Marriott Marquis,Peachtree Center Avenue NE,265,Atlanta,https://www.marriott.com/en-us/hotels/atlmq-atlanta-marriott-marquis/overview/,
yes,-84.3834007,33.7615225,hotel,GA,Hilton Atlanta,Courtland Street Northeast,255,Atlanta,https://www.hilton.com/en/hotels/atlahhh-hilton-atlanta/,+1 404 659 2000
yes,-122.5420233,45.5678154,hotel,OR,Shilo Inn,Northeast Airport Way,11707,Portland,https://www.shiloinns.com/shilo-inns-portland-airport,+1 503 252 7500;+1 800 222 2244
yes,-122.6611649,45.5304481,hotel,OR,Hotel Eastlund,Northeast Grand Avenue,1021,Portland,,+1-503-235-2100
yes,-111.9029129,40.7707729,hotel,UT,Hyatt Place Salt Lake City - Downtown,West,400,Salt Lake City,https://www.hyatt.com/en-us/hotel/utah/hyatt-place-salt-lake-city-downtown-the-gateway/slczd,+1 801-456-6300
yes,-122.6834487,45.5227808,hotel,OR,Crystal Hotel,Southwest 12th Avenue,303,Portland,,+1-503-972-2670
yes,-84.3867788,33.7616092,hotel,GA,Hyatt Regency Atlanta,Peachtree Street Northeast,265,Atlanta,https://atlanta.regency.hyatt.com/,+1 404-577-1234
yes,-87.8821532,41.9970104,hotel,IL,Sonesta Chicago O'Hare Airport Rosemont,West Higgins Road,10233,Rosemont,https://www.sonesta.com/sonesta-hotels-resorts/il/rosemont/sonesta-chicago-ohare-airport-rosemont/,+1-847-954-8600
yes,-84.3881672,33.758187,hotel,GA,Courtyard Atlanta Downtown,Carnegie Way Northwest,133,Atlanta,https://www.marriott.com/hotels/travel/atldo-courtyard-atlanta-downtown/,+1 404-222-2416
yes,-84.3871872,33.7586557,hotel,GA,"The Ritz-Carlton, Atlanta",Peachtree Street Northeast,181,Atlanta,http://www.ritzcarlton.com/en/hotels/georgia/atlanta,tel: +1-800-241-3333
yes,-84.2671744,39.098759,hotel,OH,Hampton Inn Cincinnati-Eastgate,Eastgate North Drive,858,Cincinnati,https://www.hilton.com/en/hotels/cvgeghx-hampton-cincinnati-eastgate/,+1 513-752-8584
yes,-97.7355577,30.2653601,hotel,TX,Hilton Garden Inn Austin Downtown/Convention Center,N Interstate Highway 35,500,Austin,https://hiltongardeninn3.hilton.com/en/hotels/texas/hilton-garden-inn-austin-downtown-convention-center-AUSGIGI/index.html,+1 512-480-8181
yes,-121.9083159,37.3615317,hotel,CA,Holiday Inn,North 1st Street,1350,San Jose,https://www.ihg.com/holidayinn/hotels/us/en/san-jose/sjccc/hoteldetail,+1-408-453-6200
limited,-79.0543783,35.9097625,hotel,NC,The Carolina Inn,Pittsboro Street,211,Chapel Hill,,
yes,-95.3595499,29.7577509,hotel,TX,Cambria Hotel Houston Downtown Convention Center,Texas Avenue,1314,Houston,https://cambriahoustondowntown.com,+1 713-222-2100
